FMID,MarketName,Website,street,city,County,State,zip,Season1Date,Season1Time,Season2Date,Season2Time,Season3Date,Season3Time,Season4Date,Season4Time,x,y,Location,Credit,WIC,WICcash,SFMNP,SNAP,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,updateTime
1005969,"""Y Not Wednesday Farmers Market at Town Center""",http://www.sandlercenter.org/index/ynotwednesdays,"201 Market Street,",Virginia Beach,Virginia Beach,Virginia,23462,June to August,Wed:5:00 PM - 8:00 PM;,,,,,,,-76.135361000000003,36.841884999999998,Other,Y,N,N,N,N,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,05/ 5/12 17:56
1008044,10:10 Farmers Market,http://www.1010farmersmarket.com,5960 Stewart Parkway,Douglasville,Douglas,Georgia,30135,January to December,Thu:4:00 pm - 7:00 pm;,,,,,,,-84.768900000000002,33.7196,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,N,N,N,N,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,07/18/12 13:51
1000618,100-Mile Market,http://www.peoplesfoodco-op.org/,507 Harrison Street,Kalamazoo,Kalamazoo,Michigan,49007,05/01/2013 to 10/30/2013,Wed: 3:00 PM-7:00 PM;,,,,,,,-85.575019999999995,42.295960000000001,Private business parking lot,Y,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,07/ 1/13 23:29
1002454,112st Madison Avenue,,112th Madison Avenue,New York,New York,New York,10029,July to November,Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,,,,,,,-73.949299999999994,40.793900000000001,Private business parking lot,Y,N,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,Y,N,N,03/ 1/12 10:38
1005586,12th & Brandywine Urban Farm Market,,12th & Brandywine Streets,Wilmington,New Castle,Delaware,19801,06/17/2013 to 10/14/2013,Mon: 4:00 PM-7:00 PM;,,,,,,,-75.534417000000005,39.742100000000001,"On a farm from: a barn, a greenhouse, a tent, a stand, etc",Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,06/13/13 13:33
1008071,14&U Farmers' Market,,1400 U Street NW,Washington,District of Columbia,District of Columbia,20009,05/04/2013 to 11/23/2013,Sat: 9:00 AM-1:00 PM;,,,,,,,-77.032049999999998,38.916998,Other,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,06/10/13 23:31
1007098,17 on the Square,,17 Lincoln Square,Gettysburg,Adams,Pennsylvania,17325,,,,,,,,,-77.2316,39.831299999999999,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000059,175th Street Greenmarket,http://www.grownyc.org,W 175 St. & Broadway,New York,New York,New York,10033,06/27/2013 to 11/21/2013,Thu: 8:00 AM-5:00 PM;,,,,,,,-73.938500000000005,40.846200000000003,Other,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,07/24/13 11:08
1003877,17th Ave Market,http://www.iatp.org/minimarkets,1622 6th St NE,Minneapolis,Hennepin,Minnesota,55413,June to September,Wed:3:00 pm - 7:00 pm;,,,,,,,-93.259100000000004,45.004399999999997,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,04/28/11 14:33
1002619,17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,17th & Main Streets,Richmond,Henrico,Virginia,23219,,,,,,,,,-77.488600000000005,37.558300000000003,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2009
1000709,19th Annual Highlands Business Partnership Farmers Market,http://www.highlandsnj.com,71 Waterwitch Avenue,Highlands,Monmouth,New Jersey,7732,06/29/2013 to 11/02/2013,Sat: 8:30 AM-2:00 PM;,,,,,,,-73.994358000000005,40.404837000000001,Local government building grounds,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,Y,N,N,06/26/13 15:04
1003233,2012 Wood County Farmers' Market,,555 W. Grand Ave.,Wisconsin Rapids,Wood,Wisconsin,54495,06/06/2013 to 10/31/2013,Thu: 9:00 AM-5:00 PM;Sat: 8:00 AM-12:00 PM;,,,,,,,-89.831050000000005,44.394902000000002,Private business parking lot,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,06/10/13 12:45
1005309,22nd and Tasker Farmers' Market,http://www.foodtrustmarkets.org/markets.html,22nd and Tasker Streets,Philadelphia,Philadelphia,Pennsylvania,19146,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.181420000000003,39.932160000000003,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/28/13 15:59
1006576,25th Avenue Farmers' Market,http://www.pcfma.com/market_home.php?market_id=40,194 W 25th Avenue,San Mateo,San Mateo,California,94403,May to October,Tue:4:00 PM - 7:30 PM;,,,,,,,-122.3098753,37.543342899999999,Private business parking lot,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,Y,Y,Y,Y,N,Y,N,N,N,06/13/12 11:32
1005299,29th and Wharton Farmers' Market,http://www.foodtrustmarkets.org/graysferry.html,29th and Wharton Streets,Philadelphia,Philadelphia,Pennsylvania,19146,,Tue: 2:00 PM-6:00 PM;,,,,,,,-75.192040000000006,39.9373,Other,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,06/28/13 16:19
1000380,2nd Street Public Market,http://www.secondstreetpublicmarket.com,2003 2nd Street,Tillamook,Tillamook,Oregon,97141,,,,,,,,,-123.84399999999999,45.456899999999997,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,May 20 2010 6:29PM
1004950,3 French Hens French Country Market,http://www.3frenchhensmarket.blogspot.com,123 W. Illinois ave.,Morris,Grundy,Illinois,60450,05/11/2013 to 10/12/2013,Sat: 8:00 AM-2:00 PM;,,,,,,,-88.425152999999995,41.356285999999997,Other,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,06/17/13 12:58
